"Тип";"Вид";1
"Тип";"Тип навигатора";1
"портативный";"мобильный";1
"портативный";"переносной";1
"Размеры";"Параметры";1
"Вес";"Масса";1
"Количество путевых точек";"Максимальное количество путевых точек";1
"Количество путевых точек";"Путевых точек не более";1
"Тип экрана";"Тип дисплея";1
"Тип экрана";"Вид дисплея";1
"Диагональ дисплея";"Размер экрана";1
"Диагональ дисплея";"Размер дисплея";1
"Сенсорное управление";"Сенсорный экран";1
"Сенсорное управление";"Резистивный экран";1
"Время работы";"Время автономной работы";1
"Время работы";"Автономная работы";1
"Время работы";"Работа от аккумуляторов";1
"Слоты расширения";"Слоты";1
"Слоты расширения";"Гнезда";1
"Форматы аудио";"Поддержка файлов";1
"Форматы аудио";"Поддержка";1
"Форматы аудио";"Проигрыватель";1
"Форматы аудио";"Форматы";1
"Расположение антенны";"Антенна";1
"Встроенная память";"Память";1
"Встроенная память";"Размер памяти";1
"Влагозащита"; "Защита от воды";1
"Влагозащита";"Водоотталкивающий";1
"Время холодного старта";"Холодный старт";1 
"Время холодного старта";"Холодный старт(мин.)";1
"Время теплого старта";"Теплый старт";1
"Время теплого старта";"Теплый старт(мин.)";1
"Количество маршрутов";"Маршрутов не более";1
"Количество маршрутов";"Маршрутов (макс.)";1